gps,date_carnet,heure_carnet,easting,northing,altitude,espece,signe,type,partie_consommee,nid_arboricoles,nid_terrestres,nombre,foret,age_jours,chef_equipe,equipe,famille_gorille,commentaire
100,2024-11-29,11:17,553865,9854459,608 m,Gorille,Nourriture,Palisota ambigua,Tige,0,0,0,F.P,2,P035,"Mbango Batikanyongo, Murhabazi Furien, Maliaseme Adjamina, Ubora Kamukaye",Idumba,
101,2024-11-29,11:30,553946,9854368,611 m,Gorille,Nourriture,Eremospatha haullevilleana,Tige,0,0,0,F.P,2,P035,"Mbango Batikanyongo, Murhabazi Furien, Maliaseme Adjamina, Ubora Kamukaye",Idumba,
102,2024-11-29,11:44,554022,9854355,613 m,Gorille,Nourriture,Pycnanthus angolensis,Feuille,0,0,0,F.P,2,P035,"Mbango Batikanyongo, Murhabazi Furien, Maliaseme Adjamina, Ubora Kamukaye",Idumba,
103,2024-11-29,11:53,554096,9854431,614 m,Gorille,Nourriture,Celtis briyeri,Feuille,0,0,0,F.P,2,P035,"Mbango Batikanyongo, Murhabazi Furien, Maliaseme Adjamina, Ubora Kamukaye",Idumba,
104,2024-11-29,12:04,554170,9854495,616 m,Gorille,Nid,Nuit,,14,4,18,F.P,1,P035,"Mbango Batikanyongo, Murhabazi Furien, Maliaseme Adjamina, Ubora Kamukaye",Idumba,
1,2024-11-19,12:57,563134,9844799,703 m,Chimpanze,Nid,,,0,0,3,F.P,5,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
2,2024-11-22,9:37,565403,9844304,638 m,Position,Start,,,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
3,2024-11-22,9:43,565423,9844357,638 m,Gorille,Nourriture,Thaumatococcus daniellii,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
4,2024-11-22,9:47,565459,9844403,634 m,Gorille,Nourriture,Palisota hirsuta,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
5,2024-11-22,9:59,565395,9844355,634 m,Gorille,Nourriture,Pycnanthus angolensis,Feuille,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
6,2024-11-22,10:15,565339,9844321,634 m,Gorille,Nourriture,Cissus discolor,Fruit,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
7,2024-11-22,10:21,565299,9844293,634 m,Gorille,Nourriture,Megaphrynium macrostachyum,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
8,2024-11-22,10:27,565293,9844262,632 m,Gorille,Nourriture,Palisota hirsuta,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
9,2024-11-22,10:44,565224,9844206,634 m,Gorille,Nourriture,Pycnanthus angolensis,Feuille,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
10,2024-11-22,10:49,565194,9844195,635 m,Gorille,Nourriture,Musanga cecropioides,Feuille,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
11,2024-11-22,10:54,565188,9844209,634 m,Gorille,Nourriture,Megaphrynium macrostachyum,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
12,2024-11-22,11:07,565241,9844293,629 m,Gorille,Nourriture,Thaumatococcus daniellii,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
13,2024-11-22,11:42,565236,9844355,629 m,Gorille,Nourriture,Aframomum laurentii,Moelle,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
14,2024-11-22,11:46,565278,9844331,630 m,Gorille,Nourriture,Celtis briyeri,Feuille,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
15,2024-11-22,11:57,565332,9844424,630 m,Gorille,Nourriture,Palisota hirsuta,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
16,2024-11-22,12:10,565419,9844405,633 m,Gorille,Nourriture,Cissus discolor,Fruit,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
17,2024-11-22,12:17,565532,9844367,643 m,Gorille,Nourriture,Pycnanthus angolensis,Feuille,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
18,2024-11-22,12:42,565595,9844285,635 m,Gorille,Nourriture,Celtis briyeri,Feuille,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
19,2024-11-22,12:45,565674,9844266,630 m,Gorille,Nourriture,Pycnanthus angolensis,Feuille,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
20,2024-11-22,12:47,565735,9844248,628 m,Gorille,Nourriture,Thaumatococcus daniellii,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
21,2024-11-22,12:49,565789,9844227,630 m,Gorille,Nid,Nuit,,25,8,33,F.P,5,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
22,2024-11-23,10:20,565792,9844218,564 m,Position,Start,,,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
23,2024-11-23,10:24,565770,9844169,570 m,Gorille,Nourriture,Palisota hirsuta,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
24,2024-11-23,10:27,565750,9844155,575 m,Gorille,Nourriture,Marantochloa congensis,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
25,2024-11-23,10:32,565755,9844071,588 m,Gorille,Nourriture,Pycnanthus angolensis,Feuille,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
26,2024-11-23,10:35,565810,9844056,591 m,Gorille,Nourriture,Thaumatococcus daniellii,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
27,2024-11-23,10:39,565839,9844038,597 m,Gorille,Nourriture,Palisota hirsuta,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
28,2024-11-23,10:48,565765,9844049,607 m,Gorille,Nourriture,Celtis briyeri,Feuille,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
29,2024-11-23,10:53,565797,9843949,615 m,Gorille,Nourriture,Megaphrynium macrostachyum,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
30,2024-11-23,11:02,565873,9843863,623 m,Gorille,Nourriture,Celtis briyeri,Feuille,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
31,2024-11-23,11:28,565957,9843885,627 m,Gorille,Nourriture,Megaphrynium macrostachyum,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
32,2024-11-23,11:38,566043,9843916,619 m,Gorille,Nourriture,Aframomum laurentii,Moelle,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
33,2024-11-23,11:45,566076,9844021,620 m,Gorille,Nourriture,Ataenidia conferta,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
34,2024-11-23,11:52,566077,9844127,623 m,Gorille,Nourriture,Palisota hirsuta,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
35,2024-11-23,11:57,566072,9844198,624 m,Gorille,Nourriture,Ataenidia conferta,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
36,2024-11-23,12:03,566101,9844153,628 m,Gorille,Nourriture,Aframomum laurentii,Moelle,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
37,2024-11-23,12:08,566118,9844104,630 m,Gorille,Nourriture,Celtis briyeri,Feuille,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
38,2024-11-23,12:13,566149,9844051,635 m,Gorille,Nourriture,Megaphrynium macrostachyum,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
39,2024-11-23,12:16,566156,9844012,636 m,Gorille,Nourriture,Thaumatococcus daniellii,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
41,2024-11-23,12:28,566179,9843961,638 m,Gorille,Nourriture,Palisota hirsuta,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
42,2024-11-23,12:44,566188,9843882,636 m,Gorille,Nourriture,Raphia farinifera,Moelle,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
43,2024-11-23,12:50,566209,9843880,637 m,Gorille,Nourriture,Megaphrynium macrostachyum,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
44,2024-11-23,12:59,566313,9843862,641 m,Gorille,Nourriture,Drypetes dinklagei,Feuille,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
45,2024-11-23,13:07,566330,9843818,641 m,Gorille,Nourriture,Megaphrynium macrostachyum,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
46,2024-11-23,13:16,566248,9843694,644 m,Gorille,Nid,Nuit,,28,4,32,F.P,5,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
47,2024-11-24,10:03,566243,9843691,644 m,Position,Start,,,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
48,2024-11-24,10:09,566213,9843665,642 m,Gorille,Nourriture,Megaphrynium macrostachyum,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
49,2024-11-24,10:16,566225,9843592,641 m,Gorille,Nourriture,Thaumatococcus daniellii,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
50,2024-11-24,10:24,566307,9843524,633 m,Gorille,Nourriture,Pycnanthus angolensis,Feuille,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
51,2024-11-24,10:27,566298,9843481,635 m,Gorille,Nourriture,Megaphrynium macrostachyum,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
52,2024-11-24,10:31,566351,9843418,632 m,Gorille,Nourriture,Palisota hirsuta,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
53,2024-11-24,10:35,566441,9843379,639 m,Gorille,Nourriture,Megaphrynium macrostachyum,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
55,2024-11-24,10:48,566443,9843192,635 m,Gorille,Nourriture,Pycnanthus angolensis,Feuille,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
56,2024-11-24,10:53,566479,9843081,625 m,Gorille,Nourriture,Ataenidia conferta,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
57,2024-11-24,10:57,566562,9843030,624 m,Gorille,Nourriture,Musanga cecropioides,Feuille,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
58,2024-11-24,11:03,566549,9842935,626 m,Gorille,Nourriture,Marantochloa congensis,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
59,2024-11-24,11:16,566657,9842893,625 m,Gorille,Nourriture,Marantochloa congensis,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
60,2024-11-24,11:25,566705,9842858,626 m,Gorille,Nourriture,Megaphrynium macrostachyum,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
61,2024-11-24,11:30,566743,9842894,626 m,Gorille,Nid,Nuit,,30,5,35,F.P,5,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
62,2024-11-25,9:56,566741,9842893,637 m,Position,Start,,,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
63,2024-11-25,10:02,566731,9842838,638 m,Gorille,Nourriture,Palisota hirsuta,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
64,2024-11-25,10:04,566737,9842817,639 m,Gorille,Nourriture,Drypetes dinklagei,Feuille,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
65,2024-11-25,10:06,566750,9842777,641 m,Gorille,Nourriture,Megaphrynium macrostachyum,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
66,2024-11-25,10:10,566740,9842725,645 m,Gorille,Nourriture,Pycnanthus angolensis,Feuille,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
67,2024-11-25,10:14,566789,9842686,644 m,Gorille,Nourriture,Thaumatococcus daniellii,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
68,2024-11-25,10:16,566808,9842664,640 m,Gorille,Nourriture,Palisota hirsuta,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
69,2024-11-25,10:21,566828,9842631,640 m,Gorille,Nourriture,Myrianthus arboreus,Fruit,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
70,2024-11-25,10:27,566879,9842589,646 m,Gorille,Nourriture,Megaphrynium macrostachyum,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
71,2024-11-25,10:37,566900,9842529,646 m,Gorille,Nourriture,Musanga cecropioides,Feuille,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
72,2024-11-25,10:49,566911,9842424,644 m,Gorille,Nourriture,Celtis briyeri,Feuille,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
73,2024-11-25,10:53,566943,9842405,646 m,Gorille,Nourriture,Uapaca benguelensis,Moelle,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
74,2024-11-25,10:57,566984,9842396,646 m,Gorille,Nid,Nuit,,26,8,34,F.P,5,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
75,2024-11-26,9:57,566980,9842399,647 m,Position,Start,,,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
77,2024-11-26,10:05,567030,9842312,637 m,Gorille,Nourriture,Thaumatococcus daniellii,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
78,2024-11-26,10:09,567032,9842278,640 m,Gorille,Nourriture,Cissus discolor,Fruit,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
79,2024-11-26,10:11,567017,9842252,638 m,Gorille,Nourriture,Megaphrynium macrostachyum,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
81,2024-11-26,10:17,567037,9842142,647 m,Gorille,Nourriture,Palisota hirsuta,Tige,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
82,2024-11-26,10:21,567047,9842102,650 m,Gorille,Nourriture,Musanga cecropioides,Feuille,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
83,2024-11-26,10:24,567072,9842085,659 m,Gorille,Nourriture,Pycnanthus angolensis,Feuille,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
84,2024-11-26,10:32,567144,9841999,648 m,Gorille,Nourriture,Drypetes dinklagei,Feuille,0,0,0,F.P,6,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
85,2024-11-26,10:39,567140,9841971,648 m,Gorille,Nid,Nuit,,33,4,37,F.P,5,P001,"Matunabo Aluta, Mombe Bumani, Journaliers Kaludji Cosmas, Tabin Gaspard",Odakifa,
159,2024-11-18,9:56,550899,9853656,591 m,Buffle nain,Crotte,,,0,0,1,F.P,6,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,
160,2024-11-18,10:38,550716,9851780,641 m,Cercopithecus hamlyni,Cri,,,0,0,1,F.P,0,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,
161,2024-11-18,11:16,550673,9850730,624 m,Pintade,Vu,,,0,0,13,F.P,0,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,
162,2024-11-18,11:20,550748,9850679,630 m,Chimpanze,Trace,,,0,0,1,F.P,1,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,
163,2024-11-18,11:44,551466,9850622,621 m,Cephalophe dorsalis,Crotte,,,0,0,1,F.P,4,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,
164,2024-11-18,12:06,551908,9851008,626 m,Chimpanze,Cri,,,0,0,1,F.P,0,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,
165,2024-11-18,12:24,551821,9851665,603 m,Naja melanogaster,Vu,,,0,0,1,F.P,0,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,
166,2024-11-18,12:41,551814,9852268,606 m,Potamochere roux,Trace,,,0,0,1,F.P,2,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,
167,2024-11-18,13:03,551703,9852905,614 m,Buffle nain,Crotte,,,0,0,1,F.P,6,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,
168,2024-11-18,13:25,551237,9853665,598 m,Cephalophe dorsalis,Crotte,,,0,0,1,F.P,1,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,
169,2024-11-19,9:56,549510,9852065,619 m,Potamochere roux,Trace,,,0,0,1,F.P,4,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,
170,2024-11-19,10:15,548935,9851463,631 m,Cercopithecus hamlyni,Cri,,,0,0,1,F.P,0,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,
171,2024-11-19,10:50,548552,9850850,618 m,Cephalophe dorsalis,Trace,,,0,0,1,F.P,2,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,
172,2024-11-19,11:15,548950,9850527,676 m,Chimpanze,Trace,,,0,0,1,F.P,0,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,
173,2024-11-19,11:37,549542,9850020,677 m,Cephalophe dorsalis,Trace,,,0,0,1,F.P,1,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,
174,2024-11-21,9:11,552070,9852660,606 m,Potamochere roux,Trace,,,0,0,1,F.P,3,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,
175,2024-11-21,9:16,552135,9852602,591 m,Chimpanze,Trace,,,0,0,1,F.P,0,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,
176,2024-11-21,9:32,552685,9852437,599 m,Cercopithecus hamlyni,Cri,,,0,0,1,F.P,0,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,
177,2024-11-21,9:57,553021,9851645,606 m,Pintade,Vu,,,0,0,7,F.P,0,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,
178,2024-11-21,10:07,553226,9851635,590 m,Buffle nain,Trace,,,0,0,1,F.P,5,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,
179,2024-11-21,10:57,553458,9852227,596 m,Naja melanogaster,Vu,,,0,0,1,F.P,0,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,
180,2024-11-21,11:15,553479,9852696,594 m,Cephalophe dorsalis,Trace,,,0,0,1,F.P,1,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,
182,2024-11-21,11:57,553549,9853193,581 m,Riviere,RG,,,0,0,1,F.P,0,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,Kyassa
183,2024-11-21,12:20,552891,9853087,592 m,Cercopithecus mitis,Vu,,,0,0,13,F.P,0,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,
184,2024-11-22,7:04,550014,9854013,608 m,Cercopithecus hamlyni,Cri,,,0,0,1,F.P,0,P019,"Djuma Nkuba, Molisho Nimwe, Noela Samitamba, Journalier Raymond Nimwe",Membe,
